,id,name,start_date,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,gear_id,average_speed,max_speed
39,8126377444,Morning Ride,2022-11-13T11:59:24Z,2022-11-13T08:59:24Z,Ride,32578.1,8035,9338,619.0,Ride,b9757407,4.055,14.218
40,8107463602,PDZ All Mountain roots.....,2022-11-12T11:27:44Z,2022-11-12T08:27:44Z,Ride,33922.9,9989,16492,599.2,Ride,b9757407,3.396,12.168
41,8057429469,Morning Ride,2022-11-02T11:42:16Z,2022-11-02T08:42:16Z,Ride,25486.4,4605,4684,262.8,Ride,b9757407,5.535,13.013
42,8047984270,Morning Ride,2022-10-29T11:38:37Z,2022-10-29T08:38:37Z,Ride,32909.1,7706,11575,424.0,Ride,b9757407,4.271,11.246
43,8011844430,Morning Ride,2022-10-23T11:52:13Z,2022-10-23T08:52:13Z,Ride,28945.4,9130,14428,517.0,Ride,b9757407,3.17,11.126
44,8011844366,Morning Ride,2022-10-22T11:40:51Z,2022-10-22T08:40:51Z,Ride,35991.6,7967,12037,492.0,Ride,b9757407,4.518,11.332
45,7978419056,Morning Ride,2022-10-15T11:29:20Z,2022-10-15T08:29:20Z,Ride,37505.8,8664,11701,622.0,Ride,b9757407,4.329,12.202
46,7952212253,Morning Ride,2022-10-12T11:17:46Z,2022-10-12T08:17:46Z,Ride,38620.4,9683,12820,610.4,Ride,b9757407,3.988,11.91
47,7978418887,Morning Ride,2022-10-08T11:59:56Z,2022-10-08T08:59:56Z,Ride,28027.2,7150,602938,597.0,Ride,b9757407,3.92,13.554
48,7895319670,Morning Ride,2022-10-01T11:43:13Z,2022-10-01T08:43:13Z,Ride,41152.6,11485,15346,651.7,Ride,b9757407,3.583,12.322
49,7859824064,Morning Workout,2022-09-24T13:09:37Z,2022-09-24T10:09:37Z,Workout,6006.0,4946,5475,55.2,Workout,,1.214,1.866
50,7834144927,Morning Ride,2022-09-18T12:35:04Z,2022-09-18T09:35:04Z,Ride,11937.6,3407,7035,387.4,Ride,b9757407,3.504,12.437
51,7779675840,Morning Ride,2022-09-07T11:35:34Z,2022-09-07T08:35:34Z,Ride,37064.8,9555,14468,801.0,Ride,b9757407,3.879,12.258
52,7779675804,Morning Ride,2022-09-04T12:30:43Z,2022-09-04T09:30:43Z,Ride,23642.7,5554,6974,617.0,Ride,b9757407,4.257,14.4
53,7727635100,Morning Ride,2022-08-27T12:05:18Z,2022-08-27T09:05:18Z,Ride,19613.9,5758,10398,616.0,Ride,b9757407,3.406,13.238
54,7641734046,Morning Ride,2022-08-13T12:07:10Z,2022-08-13T09:07:10Z,Ride,47779.9,12601,17319,1003.0,Ride,b9757407,3.792,13.168
55,7603015954,Morning Ride,2022-08-06T11:15:54Z,2022-08-06T08:15:54Z,Ride,33522.3,8229,13087,630.0,Ride,b9757407,4.074,14.178
56,7564872232,Morning Ride,2022-07-30T13:44:50Z,2022-07-30T10:44:50Z,Ride,22479.7,5130,6729,535.0,Ride,b9757407,4.382,15.016
57,7517285708,Afternoon Workout,2022-07-23T19:12:36Z,2022-07-23T16:12:36Z,Workout,2728.1,2344,3806,152.1,Workout,,1.164,3.383
58,7564872213,Morning Ride,2022-07-23T12:51:12Z,2022-07-23T09:51:12Z,Ride,26332.6,5346,5346,406.0,Ride,b9757407,4.926,13.292
